date,home_team,score,away_team
10-06-2023,Montreal Impact,4 - 0,Minnesota Utd
21-06-2023,Montreal Impact,1 - 0,Nashville SC (MLS)
24-06-2023,Charlotte,0 - 0,Montreal Impact
01-07-2023,Montreal Impact,0 - 1,New York City FC
25-02-2023,Nashville SC (MLS),2 - 0,New York City FC
05-03-2023,New York Red Bulls,0 - 0,Nashville SC (MLS)
12-03-2023,Nashville SC (MLS),2 - 0,Montreal Impact
18-03-2023,New England Revolution,1 - 0,Nashville SC (MLS)
26-03-2023,Nashville SC (MLS),0 - 1,FC Cincinnati
01-04-2023,Orlando City SC,0 - 2,Nashville SC (MLS)
09-04-2023,Nashville SC (MLS),0 - 0,Toronto FC
15-04-2023,New York City FC,2 - 1,Nashville SC (MLS)
23-04-2023,Nashville SC (MLS),1 - 1,Los Angeles FC
29-04-2023,Nashville SC (MLS),3 - 1,Atlanta United FC
07-05-2023,Nashville SC (MLS),3 - 0,Chicago Fire
13-05-2023,DC United,1 - 1,Nashville SC (MLS)
18-05-2023,Nashville SC (MLS),2 - 1,Club Internacional de Fútbol Miami
20-05-2023,Charlotte,1 - 2,Nashville SC (MLS)
29-05-2023,Nashville SC (MLS),3 - 1,Columbus Crew
04-06-2023,FC Dallas,1 - 2,Nashville SC (MLS)
10-06-2023,Toronto FC,1 - 1,Nashville SC (MLS)
18-06-2023,Nashville SC (MLS),3 - 1,St. Louis City
21-06-2023,Montreal Impact,1 - 0,Nashville SC (MLS)
24-06-2023,Columbus Crew,2 - 0,Nashville SC (MLS)
02-07-2023,Nashville SC (MLS),2 - 0,DC United
02-07-2023,Nashville SC (MLS),? - ?,DC United
26-02-2023,Charlotte,0 - 1,New England Revolution
05-03-2023,New England Revolution,3 - 0,Houston Dynamo
13-03-2023,Los Angeles FC,4 - 0,New England Revolution
18-03-2023,New England Revolution,1 - 0,Nashville SC (MLS)
25-03-2023,DC United,1 - 2,New England Revolution
01-04-2023,New England Revolution,1 - 1,New York City FC
08-04-2023,New England Revolution,4 - 0,Montreal Impact
15-04-2023,Columbus Crew,1 - 1,New England Revolution
22-04-2023,New England Revolution,2 - 1,Sporting Kansas City
29-04-2023,New England Revolution,1 - 1,FC Cincinnati
06-05-2023,Toronto FC,0 - 2,New England Revolution
13-05-2023,Club Internacional de Fútbol Miami,2 - 1,New England Revolution
20-05-2023,Philadelphia Union,3 - 0,New England Revolution
27-05-2023,New England Revolution,3 - 3,Chicago Fire
31-05-2023,Atlanta United FC,3 - 3,New England Revolution
03-06-2023,New York City FC,0 - 0,New England Revolution
10-06-2023,New England Revolution,3 - 1,Club Internacional de Fútbol Miami
17-06-2023,New England Revolution,3 - 1,Orlando City SC
24-06-2023,New England Revolution,2 - 1,Toronto FC
01-07-2023,FC Cincinnati,2 - 2,New England Revolution
08-07-2023,New York Red Bulls,? - ?,New England Revolution
25-02-2023,Nashville SC (MLS),2 - 0,New York City FC
05-03-2023,Chicago Fire,1 - 1,New York City FC
12-03-2023,New York City FC,1 - 0,Club Internacional de Fútbol Miami
18-03-2023,New York City FC,3 - 2,DC United
26-03-2023,Houston Dynamo,1 - 0,New York City FC
01-04-2023,New England Revolution,1 - 1,New York City FC
08-04-2023,New York City FC,1 - 1,Atlanta United FC
15-04-2023,New York City FC,2 - 1,Nashville SC (MLS)
22-04-2023,New York City FC,3 - 1,FC Dallas
